doc_id,title,year,source,specialty,parent_doc_id,text
pmid-41966549_c0,"Thrombosis after surgical splenectomy - why, in whom and can we prevent it?",2026,Thrombosis research,general,pmid-41966549,"Splenectomy remains a common operation performed in the setting of trauma, haematological disease, malignancy and diagnostic purposes. Contemporary evidence indicates an increased risk of thromboembolism after splenectomy. This includes both systemic venous thromboembolism (deep vein thrombosis and pulmonary embolism) and splanchnic thrombosis involving the portal-splenic-mesenteric axis. Comparator-based population studies demonstrate a pronounced early postoperative risk and disease-matched cohorts suggest that risk can persist beyond the immediate perioperative period. This suggests a durable post-splenectomy prothrombotic phenotype. Mechanistically, this phenotype may reflect the loss of splenic functions that are intrinsically antithrombotic, including clearance of procoagulant cellular substrates and microparticles, sequestration and regulation of platelet mass, modulation of portal haemodynamics, and facilitation of thrombus remodelling and resolution. Splenectomy as a risk factor is over-represented among patients with chronic thromboembolic pulmonary hypertension (CTEPH) with evidence for biological links between thrombotic risk and impaired thrombus resolution. Anticoagulation strategies in splenectomised patients remain heterogeneous and evidence for its use is largely based on observational studies. Most guidance supports routine perioperative pharmacologic thromboprophylaxis and consideration of extended prophylaxis in selected cases. When post-splenectomy thrombosis occurs, therapeutic anticoagulation is the mainstay for the first three to six months. Extended therapy is reserved for persistent risk factors and those who develop CTEPH."
pmid-41965772_c0,From hemoptysis to thrombosis: a comprehensive case study of catastrophic antiphospholipid syndrome in a young female.,2026,Journal of cardiothoracic surgery,general,pmid-41965772,"Catastrophic antiphospholipid syndrome (CAPS) is a rare, fulminant variant of antiphospholipid syndrome characterized by rapid, multi-organ thrombosis and high mortality. Early recognition and aggressive, multidisciplinary treatment are essential. We report an unusual case of large-vessel thrombosis extending from the superior vena cava (SVC) into the right atrium (RA) in a previously healthy young woman, highlighting the diagnostic challenges and management of the refractory disease. A 20-year-old woman with no comorbidities presented with hemoptysis, chest pain, dyspnea, and systemic symptoms including weight loss and night sweats. Work-up demonstrated persistently positive lupus anticoagulant and high anticardiolipin antibodies, consistent with antiphospholipid syndrome. Despite anticoagulation, thrombosis rapidly progressed with SVC thrombosis extending into the RA, subsegmental pulmonary embolism (PE), and acute upper-limb deep venous thrombosis (DVT). Given multi-organ involvement with acute evolution, a diagnosis of probable CAPS was made. Management included pulse methylprednisolone, plasmapheresis, and therapeutic anticoagulation; rituximab was administered for refractory disease after infectious screening was negative. The patient improved clinically with stabilization of thrombotic events and normalization of platelet count. This case provides key learning points, underscoring the heterogeneity and aggressiveness of CAPS, the importance of systematic exclusion of mimics when histopathology is not feasible, and the value of early ""triple therapy"" with escalation (e.g., rituximab) in refractory presentations. Large-vessel with cardiac extension (SVC→RA) in CAPS is uncommon and warrants heightened suspicion, even in young patients without conventional risk factors."
pmid-41954539_c0,Multifactorial Hypercoagulability Causing Simultaneous STEMI and Pulmonary Embolism in Young Adults With Prothrombin G20210A Mutation.,2026,JACC. Case reports,general,pmid-41954539,"The simultaneous occurrence of ST-segment elevation myocardial infarction and pulmonary embolism is rare, especially in young individuals without known cardiovascular disease. Both presentations imply an underlying hypercoagulable state or paradoxical embolism. A 27-year-old man experienced cardiac arrest during exercise and was diagnosed with both ST-segment elevation myocardial infarction and pulmonary embolism. Tests revealed thrombotic occlusion of the left posterior descending artery, lower extremity deep venous thrombosis, pulmonary arteriovenous malformation, and heterozygous prothrombin gene mutation. He was treated with mechanical thrombectomy and anticoagulation. This case demonstrates simultaneous arterial and venous thrombosis, likely from inherited hypercoagulability amplified by dehydration, alcohol, tobacco, and trauma, though paradoxical embolism cannot be entirely excluded. Comprehensive thrombophilia evaluation and systemic shunt exclusion are essential in young patients with concurrent arterial and venous thrombosis."
pmid-41949808_c0,Assessment Of Novel Platform Of Thrombin Generation To Predict Venous Thromboembolism Early After Traumatic Injury: A Prospective Cohort Study.,2026,"Shock (Augusta, Ga.)",general,pmid-41949808,"Calibrated automated thrombography (CAT) assay parameters have been shown to assess hypercoagulation state and, therefore, may independently predict post-trauma, symptomatic venous thromboembolism (VTE). Yet, CAT lacks high throughput and standardization, limiting diagnostic potential. This study analyzed thrombin generation profiles in trauma patients using a high throughput assay, processing up to 10 samples at once, providing batch testing capabilities. We hypothesized that trauma patients who developed VTE would show distinct thrombin generation profiles compared to those who did not. Trauma patients presenting to a Level I Trauma Center had samples collected within 12 hours post-injury prospectively. Follow-up was conducted to 90 days, time to symptomatic VTE diagnosis or death, confirmed via autopsy or imaging. Thrombin generation profiles were measured from the ST Genesia assay. Data was presented as median [IQR] or n (%), with Wilcoxon rank-sum or chi-squared test. Associations between thrombin generation parameters and clinical risk factors were assessed using Spearman correlation analysis or the Wilcoxon rank-sum test. Two-hundred and fifty-four trauma patients were analyzed (48.5 years [31.0, 62.0], 72.0% male): 64 patients with VTE (25.2%) to 190 with non-VTE. VTE pts had a median time to VTE of 8 days, with 29 developing deep venous thrombosis (DVT), 24 with pulmonary embolism (PE), and 11 with DVT/PEs. No significant differences were found in age, sex, or Body Mass Index (BMI); significantly more VTE patients underwent surgery and blood transfusions within 24 hours. Thrombin generation profiles demonstrated accelerated thrombin generation in patients who developed VTE compared to non-VTE, with significant differences in Peak Height (p=0.001), Time to Peak (p=0.021), Endogenous Thrombin Potential (p<0.001) and Velocity Index (p=0.001). Thrombin generation profiles using ST Genesia can differentiate trauma patients at high risk of developing VTE. The platform suits clinical labs needing high throughput by providing batch testing capabilities.Study Type: Prospective study with less than large effect and no negative criteria.Level of Evidence: II."
pmid-41961036_c0,Postinfarction Ventricular Septal Defect Despite Preserved Left Ventricular Function: Management Challenges and Procedural Complications.,2026,JACC. Case reports,general,pmid-41961036,"Post-myocardial infarction ventricular septal defect (PMIVSD) remains a lethal complication despite modern reperfusion. In patients with preserved or mildly reduced ejection fraction, higher shear across residual jets may increase the risk of device instability and hemolysis after transcatheter closure. A 48-year-old man presented with PMIVSD 15 days after chest pain. Echocardiography showed a left ventricular ejection fraction of 50% and a 13-mm apicoseptal defect. Surgery was advised but was declined. Percutaneous closure with an 18-mm muscular ventricular septal defect occluder via an arteriovenous loop was performed; however the device embolized to the right ventricular apex hours later. It was retrieved using a snared guidewire loop, and a 28-mm septal occluder was implanted. Severe intravascular hemolysis due to residual shunt developed, and despite intensive supportive therapy the patient died from septic shock. Surgery remains the preferred treatment for PMIVSD. In patients with preserved or mildly reduced ejection fraction, hyperdynamic ventricular mechanics and high left ventricular-right ventricular gradients increase risks of device embolization, residual shunt, and hemolysis after transcatheter closure. Surgical repair for PMIVSD should be prioritized when feasible; if transcatheter closure is pursued, stabilization, delayed timing, and careful device sizing are essential."
pmid-41959953_c0,Acute ST-Elevation Myocardial Infarction Complicating Infective Endocarditis: A Case Report and Review of Reported Outcomes After Revascularization.,2026,Cureus,general,pmid-41959953,"Acute myocardial infarction in the context of infective endocarditis is a dreadful complication. Various mechanisms have been proposed to explain this complication; embolization of fragments of valvular vegetations into the coronary tree is one possible mechanism. Early mortality with this complication is reportedly high. Moreover, outcomes after treatment, either with percutaneous or surgical intervention, are not well-described in the literature. We report a case of acute ST-elevation myocardial infarction complicating bacterial native aortic valve endocarditis. Despite aspiration of infective debris and stent implantation in the left anterior descending coronary artery, the patient died from cardiogenic and septic shock. We also summarize the literature reporting outcomes of such patients undergoing percutaneous coronary intervention and comparing them to the outcomes of patients undergoing surgical revascularization."
pmid-41945558_c0,Associations between preoperative hypoalbuminemia and clinical outcomes following total hip or knee arthroplasty: a systematic review and meta-analysis.,2026,EFORT open reviews,general,pmid-41945558,"Preoperative hypoalbuminemia is common in patients undergoing total hip or knee arthroplasty (THA/TKA). While it has been linked with poorer postoperative outcomes, there remains a paucity of systematic reviews or meta-analyses dedicated to conducting a comprehensive evaluation of this issue. A comprehensive search was conducted across the PubMed, Embase, and Web of Science databases. Studies were selected and analyzed in adherence to the Meta-analysis of Observational Studies in Epidemiology (MOOSE) guidelines, and the quality of the evidence was evaluated using the Grading of Recommendations Assessment, Development, and Evaluation (GRADE) framework. Data were extracted and subjected to meta-analysis or qualitative synthesis for outcomes. This meta-analysis was registered in the PROSPERO database (NO. CRD42024581376). Fourteen studies involving 1,194,088 patients were included. Meta-analyses showed that preoperative hypoalbuminemia was associated with a greater risk of all-cause complications (OR: 2.89, 95% CI: 1.94-4.31), sepsis (OR: 2.54, 95% CI: 1.88-3.45), septic shock (OR: 3.44, 95% CI: 1.15-10.25), pneumonia (OR: 3.83, 95% CI: 3.14-4.67), urinary tract infection (OR: 1.59, 95% CI: 1.13-2.23), myocardial infarction (OR: 2.10, 95% CI: 1.47-2.98), superficial incisional infection (OR: 2.16, 95% CI: 1.56-3.00), periprosthetic joint infection (OR: 4.03, 95% CI: 2.15-7.53), wound dehiscence (OR: 1.68, 95% CI: 1.06-2.69), transfusion (OR: 1.84, 95% CI: 1.72-1.98), unplanned reoperation (OR: 1.60, 95% CI: 1.38-1.87), and mortality (OR: 7.14, 95% CI: 5.44-9.37). Preoperative hypoalbuminemia is associated with an increased risk of numerous types of complications, transfusion, unplanned reoperation, and mortality after THA or TKA. Therefore, presurgical protocols formulated to deal with these unfavorable clinical outcomes may pay particular attention to this specific patient group."
pmid-41929443_c0,Septic coronary embolism presenting as anterior STEMI: a stentless PCI strategy guided by clinical inconsistency and pathological confirmation-case report.,2026,European heart journal. Case reports,general,pmid-41929443,"Septic coronary embolism is an uncommon cause of acute myocardial infarction and may mimic atherosclerotic occlusion. Early distinction between these mechanisms is essential because routine stent implantation may be hazardous in bacteremic conditions. A 48-year-old man presented with an anterior ST-segment elevation myocardial infarction with high fever. Coronary angiography revealed abrupt mid-left anterior descending artery occlusion with a smooth vessel contour (Figure 1). Intravascular ultrasound showed a large intraluminal thrombus without underlying plaque (Figure 2). Because these findings were inconsistent with plaque rupture, stent implantation was intentionally avoided. Pathological analysis of the aspirated thrombus demonstrated bacterial colonies (Figure 3), confirming septic coronary embolism due to methicillin-sensitive Staphylococcus aureus infective endocarditis. The patient subsequently developed acute severe aortic regurgitation secondary to left coronary cusp perforation on transesophageal echocardiography (Figures 4 and 5) and underwent urgent aortic valve replacement."
pmid-41908597_c0,Sepsis Caused by Clostridium Perfringens in an Elderly Female Patient with Breast Cancer: A Case Report.,2026,Infection and drug resistance,general,pmid-41908597,"To report a rare case of a breast cancer patient who developed septic shock and multiple organ injury. It analyzes the clinical characteristics, pathogenic factors, and prognosis associated with a mixed infection caused by Clostridium perfringens and Escherichia coli, aiming to provide a reference for the early identification and intervention of similar clinical cases. A retrospective analysis was conducted on the clinical data of a 75-year-old female patient with breast cancer, who also had a history of hypertension and diabetes. The clinical manifestations, results of etiological tests, treatment regimen, and patient outcomes were summarized, along with an analysis based on existing literature. The patient was admitted due to nausea, vomiting, abdominal pain, diarrhea, fever, and loss of consciousness, accompanied by acute myocardial infarction and progressively worsening shock. A diagnosis of septic shock and multiple organ injury was established. Etiological tests confirmed an infection with Clostridium perfringens type A carrying the plc(α) toxin gene, as well as Escherichia coli. Despite receiving anti-infective treatment with meropenem, the patient succumbed to multiple organ failure, including heart failure, within less than four days. This case represents the third documented instance of breast cancer patients complicated by Clostridium perfringens bacteremia in the medical literature. Based on clinical manifestations, the source of infection was presumed to be gastrointestinal, with a potential predisposing factor related to the patient's consumption of watermelon on that had been left unrefrigerated for over 24 hours. Although bloodstream infections caused by Clostridium perfringens are relatively rare, accounting for only about 0.017% of all bloodstream infections, the mortality rate can be as high as 70% to 100% in immunocompromised patients and those with malignant tumors. When immunocompromised patients with a history of malignant tumors present with infectious symptoms such as fever, myocardial injury, and hemolysis, the potential for infection by virulent anaerobes, such as Clostridium perfringens, should be considered. Early identification and targeted intervention are crucial for improving the prognosis of these patients."
pmid-41884793_c0,Chronic pulmonary aspergillosis and pulmonary embolism/venous thromboembolism: a case series and systematic review of the literature.,2026,Therapeutic advances in infectious disease,general,pmid-41884793,"Chronic pulmonary aspergillosis (CPA) often arises in the setting of structural lung damage and is associated with chronic inflammation, which increases the risk of venous thromboembolic disease (VTE), including pulmonary embolism (PE). However, the clinical context and pathophysiological mechanisms underlying CPA/VTE remain poorly defined. This study aims to highlight the clinical challenges through a case series and systematic review of existing literature regarding this rare co-occurrence. We present three complex cases from Kiruddu National Referral Hospital in Uganda: two males, one female, aged 44-80 years, with post-tuberculosis lung disease. All three were diagnosed with Aspergillus IgG-positive CPA and confirmed PE (two acute, one with chronic thromboembolic pulmonary hypertension (CTEPH)). One presented with concurrent active tuberculosis (TB) relapse and severe immunosuppression (CD4 T-cells < 200 cells/mm3), and two had HIV. All patients received itraconazole and anticoagulation with rivaroxaban. Two patients survived and are stable on therapy, while one patient died due to septic shock. A systematic search of PubMed, Embase, Scopus, and Web of Science yielded seven studies reporting nine patients with coexisting CPA and VTE/PE. Underlying conditions most frequently included prior TB (n = 3) and chronic obstructive pulmonary disease (n = 3). PE was chronic in three patients (including one with CTEPH), with CPA subtypes ranging from simple aspergilloma to subacute invasive aspergillosis and angioinvasive aspergillosis. Proposed mechanisms included endothelial damage due to Aspergillus angioinvasion and creation of post-PE lung cavities/infarcts suitable for Aspergillus colonization. Anticoagulation was used in six cases, but was complicated by hemoptysis in three. Two-thirds of patients improved with antifungal therapy, while three deaths were reported. CPA may coexist with PE/DVT due to fungal angioinvasion, chronic inflammation, or immobilization from advanced lung disease. Management requires individualized balancing of antifungal and anticoagulation therapy, with heightened vigilance for bleeding. Chronic lung aspergillosis and blood clots in the lungs: a case series and review of published reports Chronic pulmonary aspergillosis (CPA) is a long-term lung infection caused by Aspergillus fungus, usually affecting people whose lungs have been damaged by conditions such as tuberculosis (TB). Because CPA causes ongoing inflammation, it may increase the risk of blood clots in the lungs and legs—known as venous thromboembolism (VTE), including pulmonary embolism (PE). However, this combination is uncommon and not well understood. In this study, we describe three patients from Kiruddu National Referral Hospital in Uganda who had both CPA and PE. The patients were between 44 and 80 years old, all with previous TB-related lung damage. All tested positive for Aspergillus IgG, confirming CPA, and also had PE—two acute cases and one long-standing case that had progressed to chronic thromboembolic pulmonary hypertension (CTEPH). Two of the three patients were living with HIV, and one had a TB relapse with severe"
pmid-41884793_c1,Chronic pulmonary aspergillosis and pulmonary embolism/venous thromboembolism: a case series and systematic review of the literature.,2026,Therapeutic advances in infectious disease,general,pmid-41884793,"describe three patients from Kiruddu National Referral Hospital in Uganda who had both CPA and PE. The patients were between 44 and 80 years old, all with previous TB-related lung damage. All tested positive for Aspergillus IgG, confirming CPA, and also had PE—two acute cases and one long-standing case that had progressed to chronic thromboembolic pulmonary hypertension (CTEPH). Two of the three patients were living with HIV, and one had a TB relapse with severe immune suppression. All three received antifungal treatment (itraconazole) and blood-thinning medication (rivaroxaban). Two patients recovered well, while one died from septic shock. We also reviewed published studies on this rare combination. Across seven studies, only nine similar cases were found worldwide. The most common underlying lung problems were previous TB and chronic obstructive pulmonary disease (COPD). Some patients had chronic PE, and others had different forms of CPA—from simple cavities to more invasive fungal disease. Researchers suggested two possible explanations: 1. Aspergillus may directly damage blood vessels, increasing clot risk. 2. Lung cavities or infarcts caused by PE may create environments where Aspergillus can grow. Treating both conditions together is challenging. Blood thinners can cause bleeding, especially coughing up blood, which occurred in several cases. Still, most patients improved with antifungal treatment. Overall, CPA and PE can occur together and require careful, individualized management."
pmid-41876992_c0,"Dual Infection with dengue virus and infective endocarditis leading to brain abscess, multiorgan infarctions, and horner syndrome: a case report with literature review.",2026,BMC cardiovascular disorders,general,pmid-41876992,"This case report describes the rare occurrence of co-infection with dengue fever followed by infective endocarditis in a young patient from an endemic area. This infection led to multiple complications, including multiorgan infarctions involving the brain, kidneys, liver, and spleen; septic emboli; brain abscess; and horner's syndrome. The clinical course, diagnostic challenges, and management are discussed, along with a brief review of the literature addressing the relationship between dengue-related immunosuppression and secondary bacterial infections, which can lead to infective endocarditis and septic emboli, resulting in multiorgan infarctions. A 17-year-old previously healthy male presented one month after confirmed dengue infection with persistent fever and progressive neurological deterioration. Neuroimaging revealed multiple cerebral infarctions, including hemorrhagic and ischemic events, complicated by a brain abscess. Abdominal imaging demonstrated wedge-shaped infarctions in the kidneys, liver, and spleen, consistent with systemic septic embolization. Echocardiography identified a mobile mitral valve vegetation, establishing the diagnosis of infective endocarditis. Laboratory investigations showed elevated inflammatory markers and positive dengue IgM serology. The patient was managed with prolonged intravenous antibiotic therapy and supportive multidisciplinary care, resulting in radiological and clinical improvement. Dengue fever-associated immune dysregulation may predispose patients to secondary bacterial infections, including infective endocarditis. Septic embolization is a well-known complication of IE, but the extent of multiorgan involvement seen in this case is uncommon. Brain abscess secondary to IE is also rare and requires multidisciplinary management."
pmid-41852517_c0,In Vivo Emergence of Oxacillin Resistance in mecA-Negative MSSA Endocarditis With Metastatic Infection.,2026,Clinical case reports,general,pmid-41852517,"Staphylococcus aureus bacteremia (SAB) is particularly challenging when complicated by infective endocarditis (IE), metastatic spread, or evolving antimicrobial resistance. We describe a 76-year-old woman with poorly-controlled diabetes who presented with bilateral knee septic arthritis and persistent methicillin-sensitive S. aureus (MSSA) bacteremia complicated by in vivo emergence of oxacillin resistance despite a mecA-negative genotype. Her clinical course was marked by an aortomitral intervalvular fibrosa abscess, vertebral osteomyelitis with epidural extension, a psoas abscess, and septic renal infarctions. She experienced breakthrough bacteremia despite initial clearance on oxacillin. Surgery was delayed due to intracranial hemorrhage but was ultimately enabled by middle meningeal artery embolization (MMAE). This case highlights the rare emergence of phenotypic oxacillin resistance in mecA-negative MSSA during therapy and illustrates the role of MMAE in facilitating time-sensitive cardiac surgery in the setting of recent intracranial bleeding. It underscores the importance of dynamic diagnostic reassessment, serial susceptibility testing, and multidisciplinary coordination in complicated SAB."
